name,ring,quadrant,isNew,description
"Docker Desktop",Adopt,Tools,FALSE,"<p>Default Container runtime for Develop/Build container image</p>"
"Elastic Fluend Kibana (efk)",Adopt,Platforms,FALSE,"<p></p>"
"Signoz.io",Assess,Platforms,FALSE,"<p></p>"
"Apache Skywalking APM",Assess,Platforms,FALSE,"<p></p>"
"Grafana",Assess,Platforms,FALSE,"<p>Tool untuk memonitoring matrics container seperti cpu,memory, dan storage</p>"
"Containerd",Adopt,Tools,FALSE,"<p>Open source container runtime, alternative docker running in production machine</p>"
"Kubernetes v25 with containerd",Adopt,Platforms,FALSE,"<p>Kubernetes running with containerd as container runtime, sebagai alternative docker</p>"
"Kubernetes Dashboard",Adopt,Tools,FALSE,"<p>web based for monitoring kubernetes cluster</p>"
"MetalLB loadbalancer",Adopt,Tools,FALSE,"<p>Kubernetes loadbalancer on level 7</p>"
"Nginx Ingress (cummunity)",Adopt,Tools,FALSE,"<p>Kubernetes ingress by nginx community</p>"
"Gitlab",Adopt,Platforms,FALSE,"<p>Source code management</p>"
"Gitlab runner with docker executor",Adopt,Techniques,FALSE,""
"Gitlab integration kubernetes as certificate",Deprecated,Techniques,FALSE,"<p></p>"
"Gitlab integration kubernetes as agent (gitops)",Assess,Techniques,TRUE,"<p></p>"
"Nexus OSS",Adopt,Platforms,FALSE,"<p>dependency management, container image registry </p>"
Ansible,Adopt,languages-and-frameworks,FALSE,"<p>Framework to automation configuration deployment</p>"
